Name,Links
"Skidmore, Owings, and Merrill Architects",https://vault.cca.edu/items/980ff714-d319-4a44-a8e8-d4fa7df2d19a/1/,https://vault.cca.edu/items/f646c849-1922-4971-81f1-729257436eba/1/
"Nelson, Arthur Everett, 1942-1991",https://vault.cca.edu/items/bee0f938-d481-484f-94b5-c68727adaf07/1/,https://vault.cca.edu/items/e5714a9b-6410-48a9-ba91-01a6b57860b4/1/,https://vault.cca.edu/items/f606fabb-5d7a-4ba5-b604-de868024ee3a/1/,https://vault.cca.edu/items/2d964c3c-50f2-4848-b99e-cc1e8860952e/1/,https://vault.cca.edu/items/96bd36f5-950c-474d-b0d6-66829acc7dd0/1/,https://vault.cca.edu/items/17ae756a-e70a-4773-8210-15f25e3d355c/1/,https://vault.cca.edu/items/c56ca1c4-d461-4f2e-ba63-4818b73596ee/1/,https://vault.cca.edu/items/44a20831-d227-613f-f8b7-083df09a3cb8/1/
"Schoener, Jason 1919-1997",https://vault.cca.edu/items/8527aaed-6d19-8ae6-01c2-e89743693a95/1/,https://vault.cca.edu/items/41e2286a-3bc6-edcb-3b1c-fbc4fcfa1476/1/,https://vault.cca.edu/items/6ed1d620-725a-6cac-8d61-5488f84c23f8/1/,https://vault.cca.edu/items/c055f793-dac7-f71b-651b-49862478080b/1/,https://vault.cca.edu/items/6ed1d620-725a-6cac-8d61-5488f84c23f8/1/,https://vault.cca.edu/items/c055f793-dac7-f71b-651b-49862478080b/1/
California College of Arts and Crafts. Founders day : 1967,https://vault.cca.edu/items/e830e555-d039-4701-b182-612f502dd82d/1/,https://vault.cca.edu/items/c259b920-987f-eed5-4605-d74a6f6f71b7/1/,https://vault.cca.edu/items/3384e52d-f3e9-0cc9-ee6a-a0332bd2c552/1/,https://vault.cca.edu/items/8560d945-18cb-ae03-e0ca-b164de34605b/1/,https://vault.cca.edu/items/5016559c-3b97-71d9-0c76-b4434658a282/1/
"Smith, Vernon B., 1894-1969",https://vault.cca.edu/items/89207d4c-c06f-871e-21c5-b09505ef2f04/1/
"Streich, Martin",https://vault.cca.edu/items/acf304e6-e05d-e481-c27f-24b479de2f52/1/
"Ciriclio, S. E., 1946-",https://vault.cca.edu/items/a806a7f9-2c34-45c1-831c-29928c930ca6/1/,https://vault.cca.edu/items/fd664124-9df4-4d85-b95c-b2905b68a713/1/
"Ransom, Daniel",https://vault.cca.edu/items/3c1e9429-9554-48c0-94d9-e974ffc29897/1/
National Association of Schools of Art and Design,https://vault.cca.edu/items/ccaa5124-fc67-4c1d-81df-9229dda648a4/1/,https://vault.cca.edu/items/7d22d9d3-7ac3-4b6d-982d-2b199786340d/1/,https://vault.cca.edu/items/bf545e14-65a2-4b37-b09f-7f9e9a6c497b/1/,https://vault.cca.edu/items/99ac7d3e-91f8-4b9f-b234-f3c41fd4ecce/2/,https://vault.cca.edu/items/3088189b-30e7-4faf-8dd2-3e587bfd8683/1/
Western Association of Schools and Colleges,https://vault.cca.edu/items/5ec3d67e-d99f-405e-8a26-e60c3df2a8d1/1/,https://vault.cca.edu/items/9f32ab7e-5d5b-40ec-be89-507d653f36fd/1/,https://vault.cca.edu/items/059fe855-6dcf-47a0-b165-0a8cb19a2ca5/1/,https://vault.cca.edu/items/f9deb6dd-d86c-412a-9cb0-d3916a51b8d7/1/,https://vault.cca.edu/items/e586b6de-9644-46e0-aceb-f5fb92bb01bf/1/,https://vault.cca.edu/items/fc1c2212-4935-431e-9f92-99481fb36da9/1/
"McLean, Richard, 1934-",https://vault.cca.edu/items/866e9e5c-57d4-afb4-81f1-70a6fac4e066/1/,https://vault.cca.edu/items/1fceccb8-5ceb-b6b9-3ea3-f7842959a5e9/1/,https://vault.cca.edu/items/84ea6d4b-df84-ba5c-270b-b2b43b325d20/1/,https://vault.cca.edu/items/1b94fbbd-8b67-65ec-6ee0-39feee69063d/1/,https://vault.cca.edu/items/84ea6d4b-df84-ba5c-270b-b2b43b325d20/1/,https://vault.cca.edu/items/5901da3f-1dd4-5d44-9d70-07b665b68846/1/,https://vault.cca.edu/items/0ee969ee-55a1-6a79-bb16-262a7ed68957/1/,https://vault.cca.edu/items/5d93d693-85f9-6d7b-d1a4-52e5f1b22c0b/1/,https://vault.cca.edu/items/1b94fbbd-8b67-65ec-6ee0-39feee69063d/1/
"Browne, Tom Martin, 1938",https://vault.cca.edu/items/cc55c77f-74d6-5b36-c250-bee1ffd99b4b/1/,https://vault.cca.edu/items/cc55c77f-74d6-5b36-c250-bee1ffd99b4b/1/
"Oliveira, Nathan, 1928-",https://vault.cca.edu/items/bfb7be82-9ca6-4b70-a1d7-1fc9eead7722/1/,https://vault.cca.edu/items/a3432758-7101-1a7b-119f-dbd12544d22c/1/,https://vault.cca.edu/items/1ff6476b-8d7e-ce5c-fdad-0bbc97d8d3d5/1/,https://vault.cca.edu/items/bfb7be82-9ca6-4b70-a1d7-1fc9eead7722/1/,https://vault.cca.edu/items/0a8f0b4c-4a17-5b6c-3d6b-94a476b92b46/1/,https://vault.cca.edu/items/3eccd5a1-eaaa-6431-0bdf-76e2a2f2c361/1/,https://vault.cca.edu/items/0a8f0b4c-4a17-5b6c-3d6b-94a476b92b46/1/
"Cronan, Michael",https://vault.cca.edu/items/5028c8cc-287e-73c0-18b0-78456aed8d54/1/,https://vault.cca.edu/items/5028c8cc-287e-73c0-18b0-78456aed8d54/1/
"Okamura, Arthur, 1932-",https://vault.cca.edu/items/8a191c2e-3473-ef2f-325e-853d0f3417df/1/,https://vault.cca.edu/items/8a191c2e-3473-ef2f-325e-853d0f3417df/1/
"De Lap, Tony, 1927-",https://vault.cca.edu/items/2fda02bd-0f48-9d47-025c-65df25447e77/1/,https://vault.cca.edu/items/2fda02bd-0f48-9d47-025c-65df25447e77/1/
California College of Arts and Crafts. Founders day : 1968,https://vault.cca.edu/items/d7b9ea34-fcde-c1fc-a76c-e3142a360f52/1/
"Jackson, Harry, 1924-",https://vault.cca.edu/items/d7b9ea34-fcde-c1fc-a76c-e3142a360f52/1/
